,Title,Episode ID,Release Date,URL,Characters/Film,Species/Film,Planets/Film,Vehicles/Film,Starships/Film
0,A New Hope,4,1977-05-25,http://swapi.dev/api/films/1/,18,5,3,4,8
1,The Empire Strikes Back,5,1980-05-17,http://swapi.dev/api/films/2/,16,5,4,6,9
2,Return of the Jedi,6,1983-05-25,http://swapi.dev/api/films/3/,20,9,5,8,12
3,The Phantom Menace,1,1999-05-19,http://swapi.dev/api/films/4/,34,20,3,7,5
4,Attack of the Clones,2,2002-05-16,http://swapi.dev/api/films/5/,40,14,5,11,9
5,Revenge of the Sith,3,2005-05-19,http://swapi.dev/api/films/6/,34,20,13,13,12
